case,kind,negative_sent,fact_adherence_1_5,literal_text_1_5,accidental_text_or_watermark_1_5,composition_1_5,style_1_5,notes
plain_object,item,no,,,,,,""
plain_object,item,yes,,,,,,"watermark, artist signature, logos, unintended text, garbled letters, captions, subject cut off by the frame, confused composition, impossible overlapping geometry, awkward cropping, illustration, anime style, painterly brushwork, 3D render look, low resolution, low quality, cluttered background, unrelated objects"
garment,item,no,,,,,,""
garment,item,yes,,,,,,"watermark, artist signature, logos, unintended text, garbled letters, captions, subject cut off by the frame, confused composition, impossible overlapping geometry, awkward cropping, illustration, anime style, painterly brushwork, 3D render look, low resolution, low quality, cluttered background, unrelated objects"
sheer_garment,item,no,,,,,,""
sheer_garment,item,yes,,,,,,"watermark, artist signature, logos, unintended text, garbled letters, captions, subject cut off by the frame, confused composition, impossible overlapping geometry, awkward cropping, illustration, anime style, painterly brushwork, 3D render look, low resolution, low quality, cluttered background, unrelated objects"
lettered_sign,item,no,,,,,,""
lettered_sign,item,yes,,,,,,"watermark, artist signature, logos, unintended text, garbled letters, captions, subject cut off by the frame, confused composition, impossible overlapping geometry, awkward cropping, illustration, anime style, painterly brushwork, 3D render look, low resolution, low quality, cluttered background, unrelated objects"
interior,location,no,,,,,,""
interior,location,yes,,,,,,"watermark, artist signature, logos, unintended text, garbled letters, captions, subject cut off by the frame, confused composition, impossible overlapping geometry, awkward cropping, illustration, anime style, painterly brushwork, 3D render look, low resolution, low quality"
outdoor,location,no,,,,,,""
outdoor,location,yes,,,,,,"watermark, artist signature, logos, unintended text, garbled letters, captions, subject cut off by the frame, confused composition, impossible overlapping geometry, awkward cropping, illustration, anime style, painterly brushwork, 3D render look, low resolution, low quality"
shop_front,location,no,,,,,,""
shop_front,location,yes,,,,,,"watermark, artist signature, logos, unintended text, garbled letters, captions, subject cut off by the frame, confused composition, impossible overlapping geometry, awkward cropping, illustration, anime style, painterly brushwork, 3D render look, low resolution, low quality"
