arm,fixture,face,age,hair,build,clothing_flexibility,pose_flexibility,state_obedience,notes
base,expression-laughing,0,1,0,0,2,2,,"Null baseline, and the only arm that actually rendered the authored expression. Seed produced a black-and-white image in all four arms, so skin tone and hair colour are ungradeable across this whole fixture. Subject is a gaunt, androgynous stranger who reads early-to-mid 30s against the reference mid-20s. Hair is chin-to-shoulder length and worn loose - wrong arrangement. Build is thin and boyish, nothing like the reference full figure. Pose scores 2: head genuinely tilted back, eyes squeezed shut, mouth wide open mid-laugh with real laugh creases, exactly as prompted."
base,front-portrait-neutral,0,0,0,0,2,2,,"A different woman entirely — ash-grey hair, blue-grey eyes, thin lips, angular face reading about 55; obeyed the prompt exactly (frontal, neutral, eyes to lens) and invented a plain grey knit top."
base,full-body-standing,0,1,1,0,2,2,,"Rendered a slim young man; black cropped hair is the only trait that coincides, and the whole figure stands head-to-feet, arms at sides, exactly as prompted."
base,location-night-street,0,,0,,2,2,,"Null baseline. Subject rendered from behind under a hood: no face and no hair visible at all, so face and hair score 0 as absent. Age left blank (no face) and build left blank (shapeless hooded raincoat, back turned). Figure reads androgynous and slim. Clothing was unauthored and the render invented a scene-appropriate wet-weather coat; standing under the awning satisfies the prompt, which never specified facing the camera. Note that base is the only arm that did NOT put a red scarf on the subject."
base,outfit-formal-overcoat,0,,0,0,2,1,,"Broad-shouldered near-bald man shot walking away; the prompted charcoal overcoat and dark scarf are right, but the distant wide framing hides the face and ignores the three-quarter-length shot."
base,pose-seated-forward,0,1,0,0,2,1,,"Sepia cabinet-card of a blond man on the floor hugging his knees — no chair at all, head down and away, and the mounted card border the negative prompt banned."
base,state-face-dressing,0,2,1,0,2,2,1,"Null baseline and a clean 0 on face: fair-skinned blonde with grey-blue eyes, an angular jaw and thin lips - no resemblance to the reference. Age 2 is coincidental, not a hit: SDXL default for an unqualified person is a young adult woman, which happens to match the reference mid-20s, so this column is a weak discriminator across the whole matrix. Hair 1 - worn up like the reference but blonde against near-black. Build 0 on a shoulders-only read of a slender neck and bony shoulders. Pose 2: neutral expression, facing camera, head-and-shoulders, exactly as authored. State 1 - dressings are present and opaque, but there are TWO of them and they are on the forehead across the brow and across the nose, not a single small square high on the right cheekbone. Wrong location, right medium."
base,state-prosthetic-forearm,0,,0,0,2,0,1,"Fixture collapsed in ALL FOUR arms into an extreme close-up of a prosthetic limb with essentially no person in frame, so the framing failure is a seed artifact, not an identity effect. Base is the only arm with any head visible - an out-of-focus bald scalp and ear at the top-left corner, clearly a middle-aged man, so face 0 and hair 0 for a bald subject. Build 0: lean muscular male forearm in a grey tee. Pose 0: not a three-quarter view, not waist-up, no person. State scores 1 - hardware IS present, but zooming the junction shows a bare flesh forearm running into a black GLOVE over an intact flesh hand with the mechanical structure built on top. The arm never ends, so this is exactly the worn-over-a-hand failure the fixture is written to catch, and the authored below-elbow amputation is contradicted. Which arm is unverifiable with no torso in frame."
w065,expression-laughing,1,2,2,0,2,1,,"Identity styling transfers strongly - thick dark brows, heavy smoky winged liner, full lips, and a dark messy updo with abundant face-framing tendrils that matches the reference arrangement, so hair scores 2. Face only scores 1 because the underlying structure is wrong: narrow and tapered with a sharp chin, hollow cheeks and a long thin neck, where the reference is round-faced with heavy soft cheeks and a soft jaw. Build 0 - thin arms, prominent collarbones and sternum, small frame. Pose scores 1: the laugh is gone. Head is not tilted back, eyes are wide open rather than narrowed, and the parted-lip mouth is a direct copy of the reference own expression rather than a laugh."
w065,front-portrait-neutral,1,2,2,0,1,1,,"Reference's brows, winged liner, lip fullness and dark updo with face-framing strands, but on a narrower face with a pointed chin and paler skin; bare shoulders with a grey wrap echo the reference's strapless dress, and the mouth hangs open instead of the prompted neutral."
