trial,fixture,arm,seed,file,support_visible,hanger_visible,garment_alone,translucency_preserved,too_opaque,drape_1_5,notes
B1,scarf,production,101,screenshots/qwen-negative-blocks/B1/scarf-production-s101.webp,yes,no,no,yes,no,5,"glass dress form clearly visible through the sheer fabric"
B1,scarf,neutral,101,screenshots/qwen-negative-blocks/B1/scarf-neutral-s101.webp,no,no,yes,yes,no,5,""
B1,scarf,affirmative,101,screenshots/qwen-negative-blocks/B1/scarf-affirmative-s101.webp,no,no,yes,yes,no,5,""
B1,scarf,inline,101,screenshots/qwen-negative-blocks/B1/scarf-inline-s101.webp,no,no,yes,yes,no,5,""
B1,scarf,production,102,screenshots/qwen-negative-blocks/B1/scarf-production-s102.webp,yes,no,no,yes,no,5,"glass dress form clearly visible through the sheer fabric"
B1,scarf,neutral,102,screenshots/qwen-negative-blocks/B1/scarf-neutral-s102.webp,no,no,yes,yes,no,5,""
B1,scarf,affirmative,102,screenshots/qwen-negative-blocks/B1/scarf-affirmative-s102.webp,no,no,yes,yes,no,5,""
B1,scarf,inline,102,screenshots/qwen-negative-blocks/B1/scarf-inline-s102.webp,no,no,yes,yes,no,5,""
B1,scarf,production,103,screenshots/qwen-negative-blocks/B1/scarf-production-s103.webp,yes,no,no,yes,no,5,"glass dress form clearly visible through the sheer fabric"
B1,scarf,neutral,103,screenshots/qwen-negative-blocks/B1/scarf-neutral-s103.webp,no,no,yes,yes,no,4,""
B1,scarf,affirmative,103,screenshots/qwen-negative-blocks/B1/scarf-affirmative-s103.webp,no,no,yes,yes,no,4,""
B1,scarf,inline,103,screenshots/qwen-negative-blocks/B1/scarf-inline-s103.webp,no,no,yes,yes,no,4,""
B1,scarf,production,104,screenshots/qwen-negative-blocks/B1/scarf-production-s104.webp,yes,no,no,yes,no,5,"glass dress form clearly visible through the sheer fabric"
B1,scarf,neutral,104,screenshots/qwen-negative-blocks/B1/scarf-neutral-s104.webp,no,no,yes,yes,no,5,""
B1,scarf,affirmative,104,screenshots/qwen-negative-blocks/B1/scarf-affirmative-s104.webp,no,no,yes,yes,no,5,""
B1,scarf,inline,104,screenshots/qwen-negative-blocks/B1/scarf-inline-s104.webp,no,no,yes,yes,no,3,"wide shawl-like drape, unusually spread"
B1,scarf,production,105,screenshots/qwen-negative-blocks/B1/scarf-production-s105.webp,yes,no,no,yes,no,5,"glass dress form clearly visible through the sheer fabric"
B1,scarf,neutral,105,screenshots/qwen-negative-blocks/B1/scarf-neutral-s105.webp,no,no,yes,yes,no,5,""
B1,scarf,affirmative,105,screenshots/qwen-negative-blocks/B1/scarf-affirmative-s105.webp,no,no,yes,yes,no,5,""
B1,scarf,inline,105,screenshots/qwen-negative-blocks/B1/scarf-inline-s105.webp,no,no,yes,yes,no,5,""
B1,scarf,production,106,screenshots/qwen-negative-blocks/B1/scarf-production-s106.webp,yes,no,no,yes,no,5,"glass dress form clearly visible through the sheer fabric"
B1,scarf,neutral,106,screenshots/qwen-negative-blocks/B1/scarf-neutral-s106.webp,no,no,yes,yes,no,5,""
B1,scarf,affirmative,106,screenshots/qwen-negative-blocks/B1/scarf-affirmative-s106.webp,no,no,yes,yes,no,5,""
B1,scarf,inline,106,screenshots/qwen-negative-blocks/B1/scarf-inline-s106.webp,no,no,yes,yes,no,5,""
